year,year_type,state_name,state_code,category,variable_id,variable_name,value,unit,confidence,original_value,original_unit,notes
1978,FY,Tasmania,TAS,production,prod_milk_total,Total milk production,365.0,megalitres,high,365.0,ML,
1978,CY,Victoria,VIC,herd,herd_dairy_cattle,Dairy cattle numbers,1561000.0,head,high,1561000.0,head,
1978,FY,Victoria,VIC,herd,herd_dairy_cows,Dairy cow numbers,1047119.9999999999,head,high,1047.12,'000,
1978,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,4572400.0,head,high,4572400.0,head,
1978,FY,Victoria,VIC,production,prod_milk_total,Total milk production,3283.0,megalitres,high,3283.0,ML,
1978,CY,Western Australia,WA,herd,herd_dairy_cattle,Dairy cattle numbers,125975.0,head,high,125975.0,head,
1978,FY,Western Australia,WA,herd,herd_dairy_cows,Dairy cow numbers,72298.0,head,high,72.298,'000,
1978,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,2271000.0,head,high,2271000.0,head,
1978,FY,Western Australia,WA,production,prod_milk_total,Total milk production,213.0,megalitres,high,213.0,ML,
1979,CY,Australian Capital Territory,ACT,herd,herd_total_cattle,Total cattle numbers,14200.0,head,high,14200.0,head,
1979,CY,Australia (National),AUS,herd,herd_dairy_cattle,Dairy cattle numbers,2867000.0,head,high,2867000.0,head,
1979,FY,Australia (National),AUS,herd,herd_dairy_cows,Dairy cow numbers,1869270.0,head,high,1869.27,head,
1979,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,27112000.0,head,high,27112000.0,head,
1979,FY,Australia (National),AUS,herd,herd_yield_per_cow,Yield per cow,2904.877,litres,high,2904.877,litres,
1979,FY,Australia (National),AUS,price,price_export_butter,Export butter price,159.5041,cents_per_kg,high,1595.041,cents_per_kg,
1979,FY,Australia (National),AUS,price,price_export_cheese,Export cheese price,154.5008,cents_per_kg,high,1545.008,cents_per_kg,
1979,FY,Australia (National),AUS,price,price_farmgate_avg,Average farmgate price,12.5,cents_per_litre,high,12.5,cents_per_litre,
1979,FY,Australia (National),AUS,price,price_farmgate_manufacturing,Farmgate price - manufacturing milk,9.711,cents_per_litre,high,9.711,cents_per_litre,
