year,year_type,state_name,state_code,category,variable_id,variable_name,value,unit,confidence,original_value,original_unit,notes
1974,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,30838700.0,head,high,30838700.0,head,
1974,FY,Australia (National),AUS,herd,herd_yield_per_cow,Yield per cow,2622.931,litres,high,2622.931,litres,
1974,FY,Australia (National),AUS,price,price_export_butter,Export butter price,95.4802,cents_per_kg,high,954.802,cents_per_kg,
1974,FY,Australia (National),AUS,price,price_export_cheese,Export cheese price,101.1696,cents_per_kg,high,1011.696,cents_per_kg,
1974,FY,Australia (National),AUS,price,price_farmgate_avg,Average farmgate price,8.0,cents_per_litre,high,8.0,cents_per_litre,
1974,FY,Australia (National),AUS,price,price_farmgate_manufacturing,Farmgate price - manufacturing milk,6.0,cents_per_litre,high,6.0,cents_per_litre,
1974,FY,Australia (National),AUS,price,price_farmgate_market,Farmgate price - market milk,14.2,cents_per_litre,high,14.2,cents_per_litre,
1974,FY,Australia (National),AUS,production,prod_butter,Butter production,161000.0,tonnes,high,161.0,tonnes,
1974,FY,Australia (National),AUS,production,prod_cheese,Cheese production,99000.0,tonnes,high,99.0,tonnes,
1974,FY,Australia (National),AUS,production,prod_milk_total,Total milk production,6497.0,megalitres,high,6497.0,megalitres,
1974,CY,New South Wales,NSW,herd,herd_dairy_cattle,Dairy cattle numbers,615000.0,head,high,615000.0,head,
1974,FY,New South Wales,NSW,herd,herd_dairy_cows,Dairy cow numbers,387047.0,head,high,387.047,'000,
1974,CY,New South Wales,NSW,herd,herd_total_cattle,Total cattle numbers,8456400.0,head,high,8456400.0,head,
1974,FY,New South Wales,NSW,production,prod_milk_total,Total milk production,958.0,megalitres,high,958.0,ML,
1974,CY,Northern Territory,NT,herd,herd_total_cattle,Total cattle numbers,1321000.0,head,high,1321000.0,head,
1974,CY,Queensland,QLD,herd,herd_dairy_cattle,Dairy cattle numbers,488729.0,head,high,488729.0,head,
1974,FY,Queensland,QLD,herd,herd_dairy_cows,Dairy cow numbers,328863.0,head,high,328.863,'000,
1974,CY,Queensland,QLD,herd,herd_total_cattle,Total cattle numbers,10297000.0,head,high,10297000.0,head,
1974,FY,Queensland,QLD,production,prod_milk_total,Total milk production,658.0,megalitres,high,658.0,ML,
1974,CY,South Australia,SA,herd,herd_dairy_cattle,Dairy cattle numbers,199000.0,head,high,199000.0,head,
1974,FY,South Australia,SA,herd,herd_dairy_cows,Dairy cow numbers,134791.0,head,high,134.791,'000,
1974,CY,South Australia,SA,herd,herd_total_cattle,Total cattle numbers,1691600.0,head,high,1691600.0,head,
1974,FY,South Australia,SA,production,prod_milk_total,Total milk production,426.0,megalitres,high,426.0,ML,
1974,CY,Tasmania,TAS,herd,herd_dairy_cattle,Dairy cattle numbers,212871.0,head,high,212871.0,head,
1974,FY,Tasmania,TAS,herd,herd_dairy_cows,Dairy cow numbers,143719.0,head,high,143.719,'000,
1974,CY,Tasmania,TAS,herd,herd_total_cattle,Total cattle numbers,884000.0,head,high,884000.0,head,
1974,FY,Tasmania,TAS,production,prod_milk_total,Total milk production,461.0,megalitres,high,461.0,ML,
1974,CY,Victoria,VIC,herd,herd_dairy_cattle,Dairy cattle numbers,1886000.0,head,high,1886000.0,head,
1974,FY,Victoria,VIC,herd,herd_dairy_cows,Dairy cow numbers,1268950.0,head,high,1268.95,'000,
1974,CY,Victoria,VIC,herd,herd_total_cattle,Total cattle numbers,5839700.0,head,high,5839700.0,head,
1974,FY,Victoria,VIC,production,prod_milk_total,Total milk production,3745.0,megalitres,high,3745.0,ML,
1974,CY,Western Australia,WA,herd,herd_dairy_cattle,Dairy cattle numbers,167301.0,head,high,167301.0,head,
1974,FY,Western Australia,WA,herd,herd_dairy_cows,Dairy cow numbers,91079.0,head,high,91.079,'000,
1974,CY,Western Australia,WA,herd,herd_total_cattle,Total cattle numbers,2330000.0,head,high,2330000.0,head,
1974,FY,Western Australia,WA,production,prod_milk_total,Total milk production,246.0,megalitres,high,246.0,ML,
1975,CY,Australian Capital Territory,ACT,herd,herd_total_cattle,Total cattle numbers,18800.0,head,high,18800.0,head,
1975,CY,Australia (National),AUS,herd,herd_dairy_cattle,Dairy cattle numbers,3649000.0,head,high,3649000.0,head,
1975,FY,Australia (National),AUS,herd,herd_dairy_cows,Dairy cow numbers,2467000.0,head,high,2467.0,head,
1975,CY,Australia (National),AUS,herd,herd_total_cattle,Total cattle numbers,32793000.0,head,high,32793000.0,head,
1975,FY,Australia (National),AUS,herd,herd_yield_per_cow,Yield per cow,2532.631,litres,high,2532.631,litres,
1975,FY,Australia (National),AUS,price,price_export_butter,Export butter price,83.57419999999999,cents_per_kg,high,835.742,cents_per_kg,
1975,FY,Australia (National),AUS,price,price_export_cheese,Export cheese price,111.74600000000001,cents_per_kg,high,1117.46,cents_per_kg,
1975,FY,Australia (National),AUS,price,price_farmgate_avg,Average farmgate price,8.1,cents_per_litre,high,8.1,cents_per_litre,
1975,FY,Australia (National),AUS,price,price_farmgate_manufacturing,Farmgate price - manufacturing milk,5.5,cents_per_litre,high,5.5,cents_per_litre,
1975,FY,Australia (National),AUS,price,price_farmgate_market,Farmgate price - market milk,16.1,cents_per_litre,high,16.1,cents_per_litre,
1975,FY,Australia (National),AUS,production,prod_butter,Butter production,147635.0,tonnes,high,147.635,tonnes,
1975,FY,Australia (National),AUS,production,prod_cheese,Cheese production,113000.0,tonnes,high,113.0,tonnes,
1975,FY,Australia (National),AUS,production,prod_milk_total,Total milk production,6248.0,megalitres,high,6248.0,megalitres,
